time_tag,begin_time,begin_class,max_time,max_class,max_xrlong,max_ratio,max_ratio_time,current_int_xrlong,end_time,end_class,satellite
2026-04-18T06:40:00Z,2026-04-18T06:40:00Z,B4.9,2026-04-18T07:04:00Z,C1.6,1.6318846292051603e-06,0.11048649493141577,2026-04-18T06:54:37Z,0.003122650319710374,2026-04-18T07:22:00Z,C1.0,18
2026-04-18T15:42:00Z,2026-04-18T15:42:00Z,B3.7,2026-04-18T15:49:00Z,B6.5,6.572892061740276e-07,,,0.00031147798290476203,2026-04-18T15:51:00Z,B4.1,18
2026-04-19T13:09:00Z,2026-04-19T13:09:00Z,B3.5,2026-04-19T13:24:00Z,B5.8,5.851199489370629e-07,,,0.0007469505071640015,2026-04-19T13:28:00Z,B5.8,18
2026-04-19T13:28:00Z,2026-04-19T13:28:00Z,B5.8,2026-04-19T13:38:00Z,B5.9,5.969396283944661e-07,0.3651228762993328,2026-04-19T13:32:01Z,0.0005305242375470698,2026-04-19T13:40:00Z,B5.8,18
2026-04-19T14:14:00Z,2026-04-19T14:14:00Z,B4.4,2026-04-19T14:17:00Z,B6.0,6.044647875569353e-07,,,0.00032200064742937684,2026-04-19T14:22:00Z,B5.0,18
2026-04-19T14:35:00Z,2026-04-19T14:35:00Z,B4.1,2026-04-19T14:46:00Z,B6.5,6.513698167509574e-07,0.17576906617932647,2026-04-19T14:43:21Z,0.0006223750533536077,2026-04-19T14:52:00Z,B5.1,18
2026-04-19T23:46:00Z,2026-04-19T23:46:00Z,B3.8,2026-04-19T23:52:00Z,B5.3,5.331352213033824e-07,0.24681256482388442,2026-04-19T23:47:17Z,0.0007308650529012084,2026-04-20T00:10:00Z,B4.5,18
2026-04-20T08:33:00Z,2026-04-20T08:33:00Z,B4.0,2026-04-20T08:45:00Z,C1.0,1.0944145287794527e-06,0.29465713406588623,2026-04-20T08:37:07Z,0.0009039113647304475,2026-04-20T08:52:00Z,B7.0,18
2026-04-20T13:08:00Z,2026-04-20T13:08:00Z,B4.2,2026-04-20T13:15:00Z,B5.8,5.839695518261578e-07,0.21039528849463843,2026-04-20T13:12:56Z,0.0005434449412859976,2026-04-20T13:21:00Z,B5.0,18
2026-04-20T13:21:00Z,2026-04-20T13:21:00Z,B5.0,2026-04-20T13:33:00Z,B5.5,5.566057552641723e-07,0.19193175517995922,2026-04-20T13:32:03Z,0.0006526407669298351,2026-04-20T13:37:00Z,B5.4,18
2026-04-20T13:37:00Z,2026-04-20T13:37:00Z,B5.4,2026-04-20T14:01:00Z,B8.6,8.697788302924891e-07,0.19704376805188042,2026-04-20T13:37:18Z,0.0015848408220335841,2026-04-20T14:12:00Z,B6.9,18
2026-04-20T14:58:00Z,2026-04-20T14:58:00Z,B4.3,2026-04-20T15:14:00Z,C1.6,1.690106842033856e-06,0.285700745672312,2026-04-20T15:06:57Z,0.0020726784132421017,2026-04-20T15:25:00Z,C1.0,18
2026-04-20T15:59:00Z,2026-04-20T15:59:00Z,B4.4,2026-04-20T16:07:00Z,B6.0,6.052471235307166e-07,0.4455919254938844,2026-04-20T16:00:22Z,0.0003817454562522471,2026-04-20T16:09:00Z,B4.5,18
2026-04-20T19:52:00Z,2026-04-20T19:52:00Z,B4.9,2026-04-20T20:02:00Z,B7.1,7.19104946256266e-07,0.1940364672978492,2026-04-20T19:54:39Z,0.0008285976946353912,2026-04-20T20:12:00Z,B5.9,18
2026-04-21T01:03:00Z,2026-04-21T01:03:00Z,B4.7,2026-04-21T01:15:00Z,C1.3,1.3999897419125773e-06,0.11676277702211516,2026-04-21T01:14:21Z,0.0013138670474290848,2026-04-21T01:24:00Z,B9.0,18
2026-04-21T05:53:00Z,2026-04-21T05:53:00Z,B4.8,2026-04-21T06:02:00Z,C5.3,5.37100140718394e-06,0.17273269248893858,2026-04-21T06:01:10Z,0.002330213552340865,2026-04-21T06:08:00Z,C2.8,18
2026-04-21T06:47:00Z,2026-04-21T06:47:00Z,B7.0,2026-04-21T06:55:00Z,C1.4,1.4035649655852467e-06,0.13484547138677647,2026-04-21T06:47:23Z,0.0011999220587313175,2026-04-21T07:00:00Z,C1.1,18
2026-04-21T07:00:00Z,2026-04-21T07:00:00Z,C1.1,2026-04-21T07:19:00Z,C1.8,1.8259887610838632e-06,0.144373406334158,2026-04-21T07:09:08Z,0.00387738854624331,2026-04-21T07:38:00Z,C1.4,18
2026-04-21T09:42:00Z,2026-04-21T09:42:00Z,B7.7,2026-04-21T09:56:00Z,C1.6,1.6093496242319816e-06,0.15649185273921667,2026-04-21T09:54:26Z,0.002035918179899454,2026-04-21T10:06:00Z,C1.1,18
2026-04-21T11:25:00Z,2026-04-21T11:25:00Z,B6.8,2026-04-21T11:30:00Z,C2.2,2.2358667592925485e-06,0.13868594488077043,2026-04-21T11:29:00Z,0.001815197174437344,2026-04-21T11:42:00Z,C1.4,18
2026-04-21T11:45:00Z,2026-04-21T11:45:00Z,C1.2,2026-04-21T11:50:00Z,C4.0,4.033394361613318e-06,0.12848425807234742,2026-04-21T11:49:28Z,0.001994282705709338,2026-04-21T11:55:00Z,C2.6,18
2026-04-21T13:41:00Z,2026-04-21T13:41:00Z,B7.1,2026-04-21T14:02:00Z,C1.4,1.4898180324962595e-06,0.17386261417372179,2026-04-21T13:44:18Z,0.002189268358051777,2026-04-21T14:12:00Z,C1.0,18
2026-04-21T14:15:00Z,2026-04-21T14:15:00Z,C1.0,2026-04-21T14:24:00Z,C1.9,1.9765841443586396e-06,0.11975828570523726,2026-04-21T14:23:01Z,0.00256338925100863,2026-04-21T14:40:00Z,C1.5,18
2026-04-21T16:29:00Z,2026-04-21T16:29:00Z,B6.0,2026-04-21T16:43:00Z,C1.4,1.473443830946053e-06,0.22808804970518312,2026-04-21T16:30:16Z,0.0018934460822492838,2026-04-21T16:56:00Z,C1.0,18
2026-04-21T18:17:00Z,2026-04-21T18:17:00Z,B6.1,2026-04-21T18:23:00Z,B9.3,9.30434964629967e-07,0.2864327362403594,2026-04-21T18:19:09Z,0.0007735762046650052,2026-04-21T18:25:00Z,B8.9,18
2026-04-21T18:25:00Z,2026-04-21T18:25:00Z,B8.9,2026-04-21T18:36:00Z,C1.7,1.7234817732969532e-06,0.2126529376944406,2026-04-21T18:25:05Z,0.002221509348601103,2026-04-21T18:49:00Z,C1.2,18
2026-04-21T21:09:00Z,2026-04-21T21:09:00Z,B5.5,2026-04-21T21:15:00Z,B9.0,9.094665642805921e-07,0.266945361813383,2026-04-21T21:10:29Z,0.0004456391907297075,2026-04-21T21:17:00Z,B7.0,18
